,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
29,optscale,hystax,"FinOps, MLOps and cloud cost optimization tool. Supports AWS, Azure, GCP, Alibaba Cloud and Kubernetes.",https://github.com/hystax/optscale,Python,2021-02-01T06:00:14Z,2024-10-05T23:48:55Z,1228,170,7,Apache License 2.0
30,amazon-sagemaker-mlops-workshop,awslabs,Machine Learning Ops Workshop with SageMaker: lab guides and materials.,https://github.com/awslabs/amazon-sagemaker-mlops-workshop,Jupyter Notebook,2019-02-28T20:35:02Z,2024-08-12T19:46:13Z,324,136,0,MIT No Attribution
31,mlops-with-aws-datascientists,manifoldailearning,,https://github.com/manifoldailearning/mlops-with-aws-datascientists,Jupyter Notebook,2023-05-31T11:59:10Z,2024-10-06T14:53:03Z,126,197,0,
32,oreilly-transformers-nlp-mlops,sinanuozdemir,Session on MLOps,https://github.com/sinanuozdemir/oreilly-transformers-nlp-mlops,Jupyter Notebook,2021-12-20T14:47:14Z,2024-09-17T04:26:25Z,30,21,0,
33,Complete-MLOps-Bootcamp-v2,manifoldailearning,Complete-MLOps-Bootcamp-v2,https://github.com/manifoldailearning/Complete-MLOps-Bootcamp-v2,Jupyter Notebook,2024-08-16T16:05:13Z,2024-10-06T01:51:18Z,16,32,0,
34,mlops-sagemaker-github-actions,aws-samples,MLOps example using Amazon SageMaker Pipeline and GitHub Actions,https://github.com/aws-samples/mlops-sagemaker-github-actions,Python,2023-01-24T02:24:36Z,2024-10-05T23:28:32Z,65,38,1,MIT No Attribution
35,MLOpsDatabricks,Azure-Samples,MLOps practices using Azure ML service with Python SDK and Databricks for model training,https://github.com/Azure-Samples/MLOpsDatabricks,Python,2019-06-26T00:24:05Z,2024-09-07T23:49:25Z,46,45,4,MIT License
36,MLOps_wsPycon2023,darkanita,MLOps Workshop using Weights and Bias (Wandb) and Github Actions.,https://github.com/darkanita/MLOps_wsPycon2023,Python,2023-05-25T01:23:18Z,2024-08-07T10:10:15Z,44,53,0,
37,cookiecutter-mlops-package,fmind,Start building and deploying Python packages and Docker images for MLOps tasks.,https://github.com/fmind/cookiecutter-mlops-package,Python,2024-07-28T16:02:10Z,2024-10-06T06:45:55Z,302,31,0,MIT License
38,MLOps,ThinamXx,The repository contains a list of projects which I will work on while learning and implementing MLOps.,https://github.com/ThinamXx/MLOps,Jupyter Notebook,2022-05-21T11:19:27Z,2024-10-05T04:33:56Z,79,29,0,MIT License
39,mlops-e2e,aws-samples,"MLOps End-to-End Example using Amazon SageMaker Pipeline, AWS CodePipeline and AWS CDK",https://github.com/aws-samples/mlops-e2e,TypeScript,2021-08-10T22:53:43Z,2024-10-02T21:40:41Z,114,70,0,MIT No Attribution
40,mlops-crash-course-platform,MLOpsVN,MLOps Platform for MLOps Crash Course,https://github.com/MLOpsVN/mlops-crash-course-platform,Shell,2022-08-29T17:45:59Z,2024-06-06T01:57:15Z,37,13,2,
41,zenbytes,zenml-io,A simple guide to MLOps through ZenML and its various integrations. ,https://github.com/zenml-io/zenbytes,Jupyter Notebook,2022-03-02T12:38:23Z,2024-09-27T18:17:09Z,183,30,0,
42,wafer_mlops_docs,c17hawke,This repo contains docs and dataset associated with wafer mlops demo lecture,https://github.com/c17hawke/wafer_mlops_docs,Python,2021-03-16T03:46:15Z,2024-08-01T04:47:52Z,51,63,0,GNU General Public License v3.0
43,ml-ops-ci,vb100,MLOps example,https://github.com/vb100/ml-ops-ci,Python,2021-03-23T15:57:03Z,2023-05-20T09:30:32Z,5,44,3,
44,mlops-platforms,thoughtworks,"Compare MLOps Platforms. Breakdowns of SageMaker, VertexAI, AzureML, Dataiku, Databricks, h2o, kubeflow, mlflow...",https://github.com/thoughtworks/mlops-platforms,,2021-10-01T08:25:28Z,2024-10-02T11:38:48Z,380,30,3,Apache License 2.0
45,Quick-Notes-for-ML-DS,ashishtele,"It contains interview preparation notes provided by iNeuron, important links, MLOps resources",https://github.com/ashishtele/Quick-Notes-for-ML-DS,,2020-10-13T01:11:03Z,2024-10-04T14:13:48Z,98,45,0,
46,how-to-mlops,techiescamp,Curated list of resources to learn MLOPS,https://github.com/techiescamp/how-to-mlops,,2021-11-06T03:07:25Z,2024-07-06T05:34:56Z,75,22,0,
47,e2e-mlops,niall-turbitt,[DEPRECATED] Demo repository implementing an end-to-end MLOps workflow on Databricks. Project derived from dbx basic python template,https://github.com/niall-turbitt/e2e-mlops,Python,2022-04-01T08:00:14Z,2024-10-05T04:34:38Z,109,126,1,
48,mlops-coding-course,MLOps-Courses,"Learn how to create, develop, and maintain a state-of-the-art MLOps code base",https://github.com/MLOps-Courses/mlops-coding-course,Python,2024-01-28T15:16:56Z,2024-10-06T17:05:01Z,274,44,5,Creative Commons Attribution 4.0 International
49,MLOpsPython,guillaume-chervet,,https://github.com/guillaume-chervet/MLOpsPython,Jupyter Notebook,2023-01-29T20:58:12Z,2024-09-17T20:11:50Z,18,67,15,MIT License
50,clearml-server,allegroai,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution",https://github.com/allegroai/clearml-server,Python,2019-06-10T09:11:19Z,2024-09-26T00:24:40Z,381,132,103,Other
51,mlops-specialization,mattborghi,Machine Learning Engineering for Production (MLOps) Coursera Specialization,https://github.com/mattborghi/mlops-specialization,Jupyter Notebook,2021-05-16T23:53:21Z,2024-08-30T17:12:18Z,43,28,0,MIT License
52,mlops-roadmap-2024,marvelousmlops,,https://github.com/marvelousmlops/mlops-roadmap-2024,,2023-12-27T06:59:44Z,2024-10-04T15:06:43Z,262,56,1,
53,mlops-mara-sample-public,MLOpsVN,Sample solution for MLOps Marathon 2023,https://github.com/MLOpsVN/mlops-mara-sample-public,Python,2023-05-28T11:40:39Z,2023-11-01T08:36:19Z,29,24,1,
54,software-dev-for-mlops-101,FourthBrain,"Set up your local environment to do some real Machine Learning Operations software development, just like pro MLOps practitioners. ",https://github.com/FourthBrain/software-dev-for-mlops-101,,2022-06-23T13:31:10Z,2024-10-06T07:46:48Z,239,75,3,MIT License
55,Awesome-MLOps-Contents,MLOpsKR,"DataOps(Data Operation), MLOps(Machine Learning Operation) Contents",https://github.com/MLOpsKR/Awesome-MLOps-Contents,,2020-01-19T04:05:07Z,2024-09-09T01:05:44Z,127,17,0,MIT License
56,Awesome-LLMOps,tensorchord,An awesome & curated list of best LLMOps tools for developers,https://github.com/tensorchord/Awesome-LLMOps,Shell,2022-04-15T01:56:44Z,2024-10-06T08:33:27Z,3817,364,2,Creative Commons Zero v1.0 Universal
57,mlops-project-template,Azure,Azure MLOps (v2) solution accelerators. Enterprise ready templates to deploy your machine learning models on the Azure Platform. ,https://github.com/Azure/mlops-project-template,Python,2022-04-28T14:46:10Z,2024-09-24T20:18:28Z,66,96,12,MIT License
58,RMLops,revodavid,MLOps with R and Azure Pipelines,https://github.com/revodavid/RMLops,R,2019-06-27T16:46:49Z,2024-08-13T07:23:13Z,37,22,3,MIT License
59,customer-satisfaction-mlops,ayush714,customer-satisfaction,https://github.com/ayush714/customer-satisfaction-mlops,Python,2023-07-20T15:07:55Z,2024-10-05T07:05:35Z,123,73,4,
