,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
24,rust-genai,jeremychone,"Rust multiprovider generative AI client (Ollama, OpenAi, Anthropic, Groq, Gemini, Cohere, ...)",https://github.com/jeremychone/rust-genai,Rust,2024-06-01T19:12:27Z,2024-10-06T15:15:11Z,183,41,10,Apache License 2.0
25,genai-databases-retrieval-app,GoogleCloudPlatform,,https://github.com/GoogleCloudPlatform/genai-databases-retrieval-app,Python,2023-08-25T16:12:01Z,2024-10-01T06:58:45Z,196,67,19,Apache License 2.0
26,openai-quickstart,DjangoPeng,A comprehensive guide to understanding and implementing large language models with hands-on examples using LangChain for GenAI applications.,https://github.com/DjangoPeng/openai-quickstart,Jupyter Notebook,2023-07-17T15:43:10Z,2024-10-06T08:28:16Z,1134,836,39,Apache License 2.0
27,graph-rag,Joshua-Yu,Graph based retrieval + GenAI = Better RAG in production,https://github.com/Joshua-Yu/graph-rag,Jupyter Notebook,2024-01-14T09:37:21Z,2024-10-06T04:07:09Z,192,61,3,
28,genai-cookbook,databricks,,https://github.com/databricks/genai-cookbook,Python,2024-06-07T14:05:46Z,2024-10-03T06:53:25Z,64,50,9,Other
29,llm-colosseum,OpenGenerativeAI,Benchmark LLMs by fighting in Street Fighter 3! The new way to evaluate the quality of an LLM,https://github.com/OpenGenerativeAI/llm-colosseum,Jupyter Notebook,2024-03-23T05:52:20Z,2024-10-02T20:36:35Z,1319,156,17,MIT License
30,genAI,SKarmaa,A generative UI component framework,https://github.com/SKarmaa/genAI,TypeScript,2024-04-16T05:52:20Z,2024-09-20T05:50:01Z,10,34,0,MIT License
31,GenAI-Projects,yagyesh-bobde,A wide curration of open-source projects and applications in the emerging field of generative AI. ,https://github.com/yagyesh-bobde/GenAI-Projects,Jupyter Notebook,2023-11-30T14:34:54Z,2024-09-22T06:37:20Z,86,46,20,MIT License
32,auto-dev,unit-mesh,"🧙‍AutoDev: The AI-powered coding wizard（AI  驱动编程助手） with multilingual support 🌐, auto code generation 🏗️, and a helpful bug-slaying assistant 🐞! Customizable prompts 🎨 and a magic Auto Dev/Testing/Document/Agent  feature 🧪 included! 🚀",https://github.com/unit-mesh/auto-dev,Kotlin,2023-04-14T13:46:07Z,2024-10-05T05:31:19Z,2764,317,4,Mozilla Public License 2.0
33,terraform-genai-doc-summarization,GoogleCloudPlatform,Summarizes document using OCR and Vertex Generative AI LLM,https://github.com/GoogleCloudPlatform/terraform-genai-doc-summarization,HCL,2023-05-17T23:08:32Z,2024-10-02T12:31:46Z,103,50,15,Apache License 2.0
34,GenerativeAI,mdipietro09,GenAI & LLM usecases and applications,https://github.com/mdipietro09/GenerativeAI,Jupyter Notebook,2024-06-12T07:12:58Z,2024-10-06T14:10:57Z,50,27,1,
35,genai-cookbook,dmatrix,A mixture of Gen AI cookbook recipes for Gen AI applications. ,https://github.com/dmatrix/genai-cookbook,Jupyter Notebook,2023-11-29T23:31:40Z,2024-10-03T10:51:55Z,121,26,0,Apache License 2.0
36,ragbuilder,KruxAI,A toolkit to create optimal Production-ready RAG setup for your data,https://github.com/KruxAI/ragbuilder,Python,2024-06-24T07:25:00Z,2024-10-06T15:20:44Z,741,67,12,Apache License 2.0
37,DemoFusion,PRIS-CV,Let us democratise high-resolution generation! (CVPR 2024),https://github.com/PRIS-CV/DemoFusion,Jupyter Notebook,2023-10-29T22:31:09Z,2024-10-05T15:03:59Z,1974,229,22,
38,GenAIInfra,opea-project,Containerization and cloud native suite for OPEA,https://github.com/opea-project/GenAIInfra,Go,2024-05-07T08:53:27Z,2024-10-03T23:40:57Z,27,48,50,Apache License 2.0
39,genai-workshop,neo4j-product-examples,Generative AI Deep Dive Workshops,https://github.com/neo4j-product-examples/genai-workshop,Jupyter Notebook,2023-11-10T15:04:31Z,2024-10-02T20:20:00Z,74,31,5,
40,GenAI,turna1,"Here, we focus on educating and enlightening the community about various Generative AI models through hands-on coding tutorials and informative articles.",https://github.com/turna1/GenAI,Jupyter Notebook,2023-10-05T07:33:55Z,2024-01-07T21:34:50Z,1,106,0,
41,genai-os,kuwaai,"Kuwa GenAI OS: An open, free, secure, and privacy-focused Generative-AI Orchestrating System.",https://github.com/kuwaai/genai-os,JavaScript,2024-03-18T05:48:54Z,2024-10-04T07:28:20Z,94,22,7,MIT License
42,ps-fuzz,prompt-security,Make your GenAI Apps Safe & Secure :rocket: Test & harden your system prompt,https://github.com/prompt-security/ps-fuzz,Python,2023-12-23T16:09:31Z,2024-10-06T15:20:07Z,366,46,11,MIT License
