,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
27,codis,CodisLabs,Proxy based Redis cluster solution supporting pipeline and scaling dynamically,https://github.com/CodisLabs/codis,Go,2014-10-27T05:26:11Z,2024-10-05T13:48:34Z,13149,2692,302,MIT License
28,titan,distributedio,A Distributed Redis Protocol Compatible NoSQL Database,https://github.com/distributedio/titan,Go,2018-11-14T08:18:40Z,2024-10-01T12:31:51Z,1385,118,43,Apache License 2.0
29,nitrite-java,nitrite,NoSQL embedded document store for Java,https://github.com/nitrite/nitrite-java,Java,2017-04-19T18:26:54Z,2024-10-04T15:05:51Z,830,95,2,Apache License 2.0
30,nosqlilab,digininja,A lab for playing with NoSQL Injection,https://github.com/digininja/nosqlilab,PHP,2017-04-09T16:15:41Z,2024-10-02T08:04:36Z,127,40,1,
31,memtier_benchmark,RedisLabs,NoSQL Redis and Memcache traffic generation and benchmarking tool.,https://github.com/RedisLabs/memtier_benchmark,C++,2013-06-27T19:41:08Z,2024-10-04T20:13:11Z,895,217,32,GNU General Public License v2.0
32,isar,isar,"Extremely fast, easy to use, and fully async NoSQL database for Flutter",https://github.com/isar/isar,Dart,2020-06-10T23:49:33Z,2024-10-05T18:28:03Z,3597,343,150,Apache License 2.0
33,node-mongodb-native,mongodb,The official MongoDB Node.js driver,https://github.com/mongodb/node-mongodb-native,TypeScript,2010-01-07T12:50:50Z,2024-10-06T01:13:40Z,10021,1779,35,Apache License 2.0
34,tiedot,HouzuoGuo,A rudimentary implementation of a basic document (NoSQL) database in Go,https://github.com/HouzuoGuo/tiedot,Go,2013-05-26T10:03:49Z,2024-09-28T11:08:20Z,2721,257,27,"BSD 2-Clause ""Simplified"" License"
35,devops-resources,bregman-arie,"DevOps resources - Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP",https://github.com/bregman-arie/devops-resources,Groovy,2019-01-07T10:56:37Z,2024-10-06T15:22:19Z,8562,2141,17,
36,hibernate-ogm,hibernate,Hibernate OGM - Domain model persistence for NoSQL datastores,https://github.com/hibernate/hibernate-ogm,Java,2011-04-13T11:40:56Z,2024-09-24T16:20:47Z,321,201,0,GNU Lesser General Public License v2.1
37,aerospike-server,aerospike,"Aerospike Database Server – flash-optimized, in-memory, nosql database",https://github.com/aerospike/aerospike-server,C,2018-03-08T00:59:46Z,2024-10-05T12:43:17Z,1056,176,8,Other
38,Android-NoSql,florent37,"Lightweight, simple structured NoSQL database for Android",https://github.com/florent37/Android-NoSql,Java,2017-05-30T08:04:42Z,2024-05-14T07:23:07Z,288,40,3,Apache License 2.0
39,couchbase-lite-ios,couchbase,"Lightweight, embedded, syncable NoSQL database engine for iOS and MacOS apps.",https://github.com/couchbase/couchbase-lite-ios,Objective-C,2013-02-01T00:09:26Z,2024-09-26T02:42:50Z,1620,297,7,Apache License 2.0
40,pg_nosql_benchmark,EnterpriseDB,A tool which can be used to benchmark PostgreSQL (JSONB) and MongoDB (BSON),https://github.com/EnterpriseDB/pg_nosql_benchmark,Shell,2014-07-22T14:31:37Z,2024-08-25T02:43:54Z,218,44,5,Other
41,kotlin-nosql,cheptsov,NoSQL database query and access library for Kotlin,https://github.com/cheptsov/kotlin-nosql,Kotlin,2013-07-10T10:24:37Z,2024-08-13T20:57:26Z,212,32,11,
42,EntityFrameworkCore,BlueshiftSoftware,NoSQL providers for EntityFramework Core,https://github.com/BlueshiftSoftware/EntityFrameworkCore,C#,2017-03-15T02:39:35Z,2024-08-10T21:05:56Z,281,57,13,Other
43,1store,fastio,"NoSQL data store using the SEASTAR framework, compatible with Redis",https://github.com/fastio/1store,C++,2016-08-04T13:35:41Z,2024-09-16T14:11:28Z,1313,171,26,GNU Affero General Public License v3.0
44,nosql,smallstep,NoSQL is an abstraction layer for data persistency,https://github.com/smallstep/nosql,Go,2019-03-01T18:57:44Z,2024-07-03T02:13:45Z,20,23,13,Apache License 2.0
45,platform,precog,Advanced Analytics Engine for NoSQL Data,https://github.com/precog/platform,Scala,2011-12-06T16:00:49Z,2024-04-21T21:18:15Z,400,64,18,GNU Affero General Public License v3.0
46,mongo-csharp-driver,mongodb,The Official C# .NET Driver for MongoDB,https://github.com/mongodb/mongo-csharp-driver,C#,2010-06-02T18:22:21Z,2024-10-04T05:28:41Z,3133,1251,32,Apache License 2.0
47,nosql-examples,oracle,This is a top level repository for code examples related to the use of Oracle NoSQL Database.,https://github.com/oracle/nosql-examples,Java,2014-06-10T01:31:38Z,2024-10-05T22:37:02Z,53,46,1,Universal Permissive License v1.0
48,NoSQLProvider,microsoft,A cross-browser/platform indexeddb-like client library,https://github.com/microsoft/NoSQLProvider,TypeScript,2016-01-06T00:36:31Z,2024-09-07T17:50:08Z,95,35,2,MIT License
49,awesome-nosql-guides,erictleung,:computer: Curated list of awesome resources and links about using NoSQL databases,https://github.com/erictleung/awesome-nosql-guides,,2016-04-22T17:35:47Z,2024-10-05T09:10:18Z,254,28,10,Creative Commons Zero v1.0 Universal
50,Kodein-DB,kosi-libs,Multiplatform NoSQL database,https://github.com/kosi-libs/Kodein-DB,Kotlin,2018-09-04T09:04:26Z,2024-09-20T15:59:15Z,281,23,13,MIT License
